year,month,species_id,rodent_type,plot_type,captures
1992,12,DM,Kangaroo Rat,Control,0.45161290322580644
1992,12,DS,Kangaroo Rat,Control,0.06451612903225806
1992,12,PF,Granivore,Control,0.03225806451612903
1992,12,PP,Granivore,Long-term Krat Exclosure,0.03225806451612903
1992,12,RM,Granivore,Control,0.06451612903225806
1992,12,RM,Granivore,Long-term Krat Exclosure,0.06451612903225806
1993,1,DM,Kangaroo Rat,Control,0.41935483870967744
1993,1,DO,Kangaroo Rat,Control,0.03225806451612903
1993,1,DS,Kangaroo Rat,Control,0.06451612903225806
1993,1,PE,Granivore,Control,0.03225806451612903
1993,1,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1993,1,RM,Granivore,Control,0.0967741935483871
1993,1,RM,Granivore,Long-term Krat Exclosure,0.12903225806451613
1993,2,DM,Kangaroo Rat,Control,0.41935483870967744
1993,2,DO,Kangaroo Rat,Control,0.03225806451612903
1993,2,DS,Kangaroo Rat,Control,0.03225806451612903
1993,2,PF,Granivore,Control,0.0967741935483871
1993,2,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1993,2,PP,Granivore,Control,0.03225806451612903
1993,2,PP,Granivore,Long-term Krat Exclosure,0.03225806451612903
1993,2,RM,Granivore,Control,0.0967741935483871
1993,2,RM,Granivore,Long-term Krat Exclosure,0.16129032258064516
1993,3,DM,Kangaroo Rat,Control,1.064516129032258
1993,3,DO,Kangaroo Rat,Control,0.03225806451612903
1993,3,DS,Kangaroo Rat,Control,0.06451612903225806
1993,3,PE,Granivore,Control,0.03225806451612903
1993,3,PF,Granivore,Control,0.0967741935483871
1993,3,PF,Granivore,Long-term Krat Exclosure,0.03225806451612903
1993,3,PP,Granivore,Control,0.0967741935483871
1993,3,PP,Granivore,Long-term Krat Exclosure,0.03225806451612903
1993,3,RM,Granivore,Control,0.03225806451612903
1993,3,RM,Granivore,Long-term Krat Exclosure,0.06451612903225806
1993,4,DM,Kangaroo Rat,Control,0.3870967741935484
1993,4,DO,Kangaroo Rat,Control,0.03225806451612903
1993,4,DS,Kangaroo Rat,Control,0.06451612903225806
1993,4,PF,Granivore,Long-term Krat Exclosure,0.06451612903225806
1993,4,PP,Granivore,Control,0.1935483870967742
1993,4,PP,Granivore,Long-term Krat Exclosure,0.12903225806451613
1993,4,RM,Granivore,Control,0.03225806451612903
1993,4,RM,Granivore,Long-term Krat Exclosure,0.03225806451612903
